network_condition,website,time_seconds,CacheV2LoadTester,ClassicLoadTester,enhancement
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/1177,60,1299,1905,0.31811023622047246
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/1177,3600,1335,1906,0.29958027282266525
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/1177,21600,1336,1907,0.2994231777661248
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/1177,86400,1338,1914,0.30094043887147337
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/1177,604800,1332,1908,0.3018867924528302
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/1177,31622400,1339,1917,0.3015127803860198
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/16personalities,60,1580,1565,-0.009584664536741214
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/16personalities,3600,1507,1565,0.03706070287539936
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/16personalities,21600,1515,1536,0.013671875
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/16personalities,86400,1724,1577,-0.0932149651236525
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/16personalities,604800,1599,1538,-0.03966189856957087
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/16personalities,31622400,1538,1651,0.06844336765596608
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/20minutes,60,2967,1379,-1.1515591007976795
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/20minutes,3600,3009,1360,-1.2125
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/20minutes,21600,2798,1466,-0.9085948158253752
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/20minutes,86400,2746,1367,-1.0087783467446965
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/20minutes,604800,2563,1353,-0.8943089430894309
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/20minutes,31622400,2640,1402,-0.8830242510699001
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/24h.com,60,3988,2869,-0.39003136981526665
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/24h.com,3600,3657,4825,0.24207253886010363
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/24h.com,21600,5147,3445,-0.49404934687953556
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/24h.com,86400,4257,4358,0.0231757687012391
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/24h.com,604800,3056,3404,0.10223266745005875
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/24h.com,31622400,3528,3383,-0.04286136565178835
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/3bmeteo,60,5518,5891,0.06331692412154133
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/3bmeteo,3600,6114,3853,-0.5868154684661303
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/3bmeteo,21600,5289,5822,0.09154929577464789
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/3bmeteo,86400,4044,3314,-0.22027761013880506
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/3bmeteo,604800,3851,4434,0.13148398737032024
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/3bmeteo,31622400,5036,4069,-0.23765052838535267
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/abc,60,7419,5920,-0.25320945945945944
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/abc,3600,7994,6050,-0.3213223140495868
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/abc,21600,6839,5154,-0.326930539386884
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/abc,86400,8006,3676,-1.1779107725788902
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/abc,604800,6078,6083,0.000821962847279303
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/abc,31622400,7269,5030,-0.4451292246520875
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/abril.com,60,306,273,-0.12087912087912088
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/abril.com,3600,306,271,-0.12915129151291513
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/abril.com,21600,308,240,-0.2833333333333333
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/abril.com,86400,311,252,-0.23412698412698413
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/abril.com,604800,268,257,-0.042801556420233464
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/abril.com,31622400,305,256,-0.19140625
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/accuweather,60,1559,1482,-0.05195681511470985
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/accuweather,3600,1507,1472,-0.02377717391304348
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/accuweather,21600,1497,1463,-0.02323991797676008
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/accuweather,86400,1528,1470,-0.03945578231292517
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/accuweather,604800,1524,1501,-0.015323117921385743
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/accuweather,31622400,1433,1477,0.02979011509817197
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/acibadem.com,60,6062,5818,-0.04193881058783087
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/acibadem.com,3600,6331,6829,0.07292429345438571
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/acibadem.com,21600,6055,6412,0.055676855895196505
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/acibadem.com,86400,5861,5947,0.014461072809820077
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/acibadem.com,604800,5997,6243,0.03940413262854397
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/acibadem.com,31622400,6204,5948,-0.04303967720242098
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/action,60,1847,3672,0.4970043572984749
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/action,3600,4369,2682,-0.6290082028337062
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/action,21600,3613,3661,0.013111171810980607
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/action,86400,2332,4665,0.5001071811361201
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/action,604800,1889,3072,0.3850911458333333
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/action,31622400,2125,2063,-0.030053320407174018
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/adac,60,2447,2732,0.10431918008784773
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/adac,3600,2792,2620,-0.06564885496183206
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/adac,21600,2437,3137,0.22314313037934333
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/adac,86400,2523,2435,-0.036139630390143736
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/adac,604800,2001,3028,0.3391677675033025
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/adac,31622400,2051,3299,0.3782964534707487
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aemet,60,9891,12042,0.17862481315396114
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aemet,3600,11106,11579,0.040849814319025825
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aemet,21600,16295,9789,-0.6646235570538359
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aemet,86400,11945,10951,-0.09076796639576294
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aemet,604800,16474,12098,-0.3617126797817821
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aemet,31622400,10733,11885,0.0969289019772823
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aftonbladet,60,4942,4360,-0.13348623853211009
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aftonbladet,3600,5042,4982,-0.01204335608189482
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aftonbladet,21600,6139,4943,-0.2419583249039045
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aftonbladet,86400,5695,4908,-0.16035044824775876
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aftonbladet,604800,2647,4956,0.4658999192897498
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aftonbladet,31622400,5142,4690,-0.09637526652452026
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/agoda,60,11274,12313,0.08438236010720376
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/agoda,3600,11426,11687,0.022332506203473945
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/agoda,21600,11415,11479,0.005575398553881
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/agoda,86400,11387,11393,0.0005266391643991925
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/agoda,604800,11205,11278,0.006472778861500266
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/agoda,31622400,11506,12031,0.043637270384839166
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/airbnb,60,7029,193783,0.9637274683537772
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/airbnb,3600,7085,9490,0.2534246575342466
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/airbnb,21600,352,6557,0.9463169132225103
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/airbnb,86400,9812,6793,-0.4444280877373767
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/airbnb,604800,8321,7483,-0.1119871709207537
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/airbnb,31622400,195253,194990,-0.0013487871172880661
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/airtel,60,340,1360,0.75
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/airtel,3600,1335,1365,0.02197802197802198
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/airtel,21600,1419,1503,0.05588822355289421
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/airtel,86400,311,1307,0.7620504973221117
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/airtel,604800,1307,1799,0.27348526959421904
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/airtel,31622400,1300,1287,-0.010101010101010102
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aiscore,60,6915,6863,-0.007576861430861139
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aiscore,3600,6686,6780,0.013864306784660767
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aiscore,21600,6500,6824,0.047479484173505275
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aiscore,86400,6857,7328,0.06427401746724891
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aiscore,604800,6705,6813,0.015852047556142668
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aiscore,31622400,336,6643,0.9494204425711275
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/akakce,60,3679,3992,0.0784068136272545
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/akakce,3600,2912,3084,0.055771725032425425
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/akakce,21600,3912,3195,-0.2244131455399061
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/akakce,86400,3725,3251,-0.14580129191018149
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/akakce,604800,3749,4160,0.09879807692307692
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/akakce,31622400,2861,3773,0.24171746620726212
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/akc,60,2658,4176,0.3635057471264368
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/akc,3600,4901,3724,-0.3160580021482277
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/akc,21600,4867,3124,-0.5579385403329066
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/akc,86400,5307,259,-19.49034749034749
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/akc,604800,5869,3810,-0.5404199475065616
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/akc,31622400,369,3923,0.9059393321437675
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/alibaba,60,233,231,-0.008658008658008658
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/alibaba,3600,225,241,0.06639004149377593
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/alibaba,21600,387,248,-0.5604838709677419
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/alibaba,86400,254,232,-0.09482758620689655
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/alibaba,604800,363,319,-0.13793103448275862
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/alibaba,31622400,386,275,-0.4036363636363636
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aliexpress,60,12978,10157,-0.2777394900068918
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aliexpress,3600,19595,13188,-0.48582044282681225
